time,step-size,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.total_energy_used,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
11.325943652739332,9.000000000000002E-5,2.3391034285383228,-0.07446741061666934,0.10115442756261546,0.0,170.32306570753144,0.5,-0.1,144.00000000000003,254.00000000000006
11.326213652739332,2.7000000000000006E-4,2.338612116199299,-0.07450882114230095,0.1011229218867019,0.0,170.3371448923217,0.5,-0.1,144.00000000000003,254.00000000000006
11.327023652739332,8.100000000000002E-4,2.338119822518334,-0.0745502557498085,0.10109144544832908,0.0,170.3512243084665,0.5,-0.1,144.00000000000003,254.00000000000006
11.329453652739332,0.0024300000000000007,2.3371323093356535,-0.07463319709918118,0.10102858034596769,0.0,170.37938383224264,0.5,-0.1,144.00000000000003,254.00000000000006
11.336743652739331,0.007290000000000002,2.333645763627768,-0.07492424631524067,0.10080947574226591,0.0,170.47794935813818,0.5,-0.1,170.00000000000003,254.00000000000006
11.340388652739332,0.003645000000000001,2.3316327460093906,-0.075091084456988,0.10068491940210343,0.0,170.53427747730484,0.5,-0.1,184.00000000000003,255.00000000000006
11.351323652739332,0.010935000000000004,2.3260218971552358,-0.07555183875545626,0.10034482245875136,0.0,170.68919801458787,0.5,-0.1,192.00000000000006,255.00000000000006
11.384128652739331,0.032805000000000015,2.3085757161986056,-0.07695093627676633,0.0993461220720294,0.0,171.15411222080138,0.5,-0.1,213.00000000000006,254.00000000000006
11.387589699468304,0.0034610467289719654,2.3069472711679566,-0.07707935588331646,0.09925695009449019,0.0,171.19638794255252,0.5,-0.1,213.00000000000006,254.00000000000006
11.39797283965522,0.010383140186915897,2.3014715920982165,-0.07750887323041036,0.09896167422311121,0.0,171.33731935817377,0.5,-0.1,254.00000000000006,254.00000000000006
11.429122260215967,0.03114942056074769,2.283490767639023,-0.07889806588588671,0.09803724957576394,0.0,171.7884210744278,0.5,-0.1,254.00000000000006,253.00000000000006
11.432393368842323,0.003271108626355788,2.2817716515535404,-0.07902943268762039,0.09795219488912686,0.0,171.83072083569778,0.5,-0.1,254.00000000000006,216.00000000000006
11.432440183555245,4.6814712922574094E-5,2.2817716515535404,-0.07902943268762039,0.09795219488912686,0.0,171.83072083569778,0.5,-0.1,254.00000000000006,216.00000000000006
11.432580627694014,1.404441387677223E-4,2.2817716515535404,-0.07902943268762039,0.09795219488912686,0.0,171.83072083569778,0.5,-0.1,254.00000000000006,216.00000000000006
11.433001960110317,4.2133241630316686E-4,2.2811974097952126,-0.07907326402027873,0.09792390502207772,0.0,171.84482108334578,0.5,-0.1,254.00000000000006,216.00000000000006
11.434265957359226,0.0012639972489095006,2.2806225711492556,-0.07911711650739342,0.09789564602720062,0.0,171.8589214936046,0.5,-0.1,254.00000000000006,216.00000000000006
11.438057949105955,0.0037919917467285017,2.2783173028372152,-0.07929273746174606,0.09778291906385754,0.0,171.91532474878977,0.5,-0.1,254.00000000000006,216.00000000000006
11.44943392434614,0.011375975240185505,2.271930216344934,-0.07977742404799515,0.09747547574864425,0.0,172.0704467566211,0.5,-0.1,255.00000000000006,196.00000000000006
11.44953941856416,1.0549421802041826E-4,2.271930216344934,-0.07977742404799515,0.09747547574864425,0.0,172.0704467566211,0.5,-0.1,255.00000000000006,196.00000000000006
11.449855901218221,3.164826540612548E-4,2.271930216344934,-0.07977742404799515,0.09747547574864425,0.0,172.0704467566211,0.5,-0.1,255.00000000000006,196.00000000000006
11.450805349180404,9.494479621837644E-4,2.271346195227204,-0.07982161134774035,0.09744771270231127,0.0,172.08454968809338,0.5,-0.1,254.00000000000006,163.00000000000003
11.450815349180404,1.0E-5,2.271346195227204,-0.07982161134774035,0.09744771270231127,0.0,172.08454968809338,0.5,-0.1,254.00000000000006,163.00000000000003
11.450845349180405,3.0000000000000004E-5,2.271346195227204,-0.07982161134774035,0.09744771270231127,0.0,172.08454968809338,0.5,-0.1,254.00000000000006,163.00000000000003
11.450935349180405,9.000000000000002E-5,2.271346195227204,-0.07982161134774035,0.09744771270231127,0.0,172.08454968809338,0.5,-0.1,254.00000000000006,163.00000000000003
11.451205349180405,2.7000000000000006E-4,2.2707616225562557,-0.07986581934498233,0.09741998077661755,0.0,172.09865277217432,0.5,-0.1,254.00000000000006,163.00000000000003
11.452015349180405,8.100000000000002E-4,2.270176500888937,-0.07991004801290655,0.09739227998604331,0.0,172.11275600828913,0.5,-0.1,254.00000000000006,163.00000000000003
11.454445349180405,0.0024300000000000007,2.269004620733373,-0.07999856725357943,0.0973369718680968,0.0,172.1409629343234,0.5,-0.1,254.00000000000006,163.00000000000003
11.461735349180405,0.007290000000000002,2.2648861171024883,-0.08030903178404883,0.09714437633278315,0.0,172.2396918805166,0.5,-0.1,254.00000000000006,144.00000000000003
11.465380349180405,0.003645000000000001,2.262521102575844,-0.08048688954030117,0.09703500956453466,0.0,172.29611165339657,0.5,-0.1,254.00000000000006,144.00000000000003
11.476315349180405,0.010935000000000004,2.2559753261116997,-0.08097766765348649,0.09673683892045805,0.0,172.45127781290785,0.1,-0.5,254.00000000000006,100.00000000000003
11.509120349180405,0.032805000000000015,2.256950519731826,-0.08230092385991114,0.09566163271124394,0.0,172.9142820474467,0.1,-0.5,254.00000000000006,66.00000000000001
11.607535349180404,0.09841500000000004,2.2814689059296054,-0.08599095998865139,0.09218210897181066,0.0,174.28986204196235,0.1,-0.5,254.00000000000006,85.00000000000001
11.60792511292618,3.897637457755751E-4,2.2814689059296054,-0.08599095998865139,0.09218210897181066,0.0,174.28986204196235,0.1,-0.5,254.00000000000006,85.00000000000001
11.609094404163507,0.0011692912373267254,2.2821621784809065,-0.08606366391297104,0.09210816890934946,0.0,174.31796202237638,0.1,-0.5,254.00000000000006,85.00000000000001
11.612602277875487,0.003507873711980176,2.2832144173896287,-0.08617252187477414,0.09199704615954508,0.0,174.36011410802303,0.1,-0.5,254.00000000000006,254.00000000000006
11.614356214731478,0.001753936855990088,2.2839240442907287,-0.08624496172684892,0.09192282285410232,0.0,174.38821690779332,0.1,-0.5,254.00000000000006,254.00000000000006
11.619618025299449,0.005261810567970264,2.285726159734291,-0.08642559799737187,0.09173677086758668,0.0,174.45847883165607,0.1,-0.5,254.00000000000006,254.00000000000006
11.63540345700336,0.015785431703910793,2.291752902162655,-0.08699916631894916,0.0911366982653646,0.0,174.6833639705428,0.1,-0.5,255.00000000000006,254.00000000000006
11.682759752115093,0.04735629511173238,2.311521470883738,-0.08864415246328161,0.08933342963042627,0.0,175.34436684983575,0.1,-0.5,255.00000000000006,254.00000000000006
11.82482863745029,0.14206888533519713,2.385079210703772,-0.0932378719593813,0.08354257054328311,0.0,177.34458534828673,0.1,-0.5,184.00000000000003,255.00000000000006
11.82483863745029,1.0E-5,2.385079210703772,-0.0932378719593813,0.08354257054328311,0.0,177.34458534828673,0.1,-0.5,184.00000000000003,255.00000000000006
11.82486863745029,3.0000000000000004E-5,2.385079210703772,-0.0932378719593813,0.08354257054328311,0.0,177.34458534828673,0.1,-0.5,184.00000000000003,255.00000000000006
11.82495863745029,9.000000000000002E-5,2.385079210703772,-0.0932378719593813,0.08354257054328311,0.0,177.34458534828673,0.1,-0.5,184.00000000000003,255.00000000000006
11.82522863745029,2.7000000000000006E-4,2.385651890858436,-0.09326814245558732,0.08350008563523463,0.0,177.35868528921037,0.1,-0.5,184.00000000000003,255.00000000000006
11.82603863745029,8.100000000000002E-4,2.3862251751398933,-0.09329838308149191,0.08345757816618261,0.0,177.37278539404542,0.1,-0.5,184.00000000000003,255.00000000000006
11.82846863745029,0.0024300000000000007,2.3873735448939097,-0.09335877465865022,0.08337249565018508,0.0,177.40098609304687,0.1,-0.5,184.00000000000003,255.00000000000006
11.83575863745029,0.007290000000000002,2.391411461542091,-0.09356920192571583,0.08307400003365446,0.0,177.49969361474314,0.1,-0.5,1.0000000000000002,255.00000000000006
11.83940363745029,0.003645000000000001,2.3937315896219653,-0.09368878578789558,0.08290293996568963,0.0,177.55610140087128,0.1,-0.5,1.0000000000000002,255.00000000000006
11.85033863745029,0.010935000000000004,2.400158144659229,-0.0940151557883547,0.08243069883678385,0.0,177.71123553874122,0.5,-0.1,1.0000000000000002,254.00000000000006
11.851493134638954,0.0011544971886626007,2.4007422945375643,-0.09404464451469463,0.08238763586636179,0.0,177.72521468035757,0.5,-0.1,1.0000000000000002,254.00000000000006
11.854956626204942,0.003463491565987802,2.402204914610142,-0.09413336524139224,0.08225871410222461,0.0,177.76735720562738,0.5,-0.1,1.0000000000000002,254.00000000000006
11.865347100902905,0.010390474697963406,2.4014249329529758,-0.09451137575434254,0.0818342595491721,0.0,177.92191653631198,0.5,-0.1,1.0000000000000002,254.00000000000006
11.896518524996795,0.031171424093890218,2.3966546609672044,-0.09563994358318834,0.08069598772896193,0.0,178.3566443003965,0.5,-0.1,1.0000000000000002,255.00000000000006
11.990032797278465,0.09351427228167065,2.3704061393620615,-0.09920903857496358,0.07738682809850443,0.0,179.67642552538246,0.5,-0.1,1.0000000000000002,255.00000000000006
12.270575614123477,0.280542816845012,2.226481101084395,-0.11113996522905215,0.06904768294660217,0.0,183.62048903841242,0.5,-0.1,0.0,254.00000000000006
